iter	Passed	Remaining
798	1859	467
799	1861	465
800	1863	463
801	1866	460
802	1868	458
803	1870	456
804	1872	453
805	1875	451
806	1877	449
807	1880	446
808	1882	444
809	1884	442
810	1887	439
811	1889	437
812	1891	435
813	1894	432
814	1896	430
815	1899	428
816	1901	425
817	1904	423
818	1906	421
819	1908	418
820	1910	416
821	1913	414
822	1915	412
823	1918	409
824	1920	407
825	1922	404
826	1924	402
827	1926	400
828	1928	397
829	1931	395
830	1934	393
831	1936	391
832	1938	388
833	1941	386
834	1943	383
835	1945	381
836	1947	379
837	1949	376
838	1952	374
839	1954	372
840	1956	369
841	1958	367
842	1960	365
843	1962	362
844	1965	360
845	1967	358
846	1969	355
847	1972	353
848	1974	351
849	1977	348
850	1979	346
851	1981	344
852	1983	341
853	1985	339
854	1988	337
855	1990	334
856	1992	332
857	1994	330
858	1997	327
859	1999	325
860	2001	323
861	2004	320
862	2006	318
863	2008	316
864	2010	313
865	2013	311
866	2015	309
867	2017	306
868	2019	304
869	2021	302
870	2023	299
871	2025	297
872	2028	295
873	2030	292
874	2032	290
875	2034	288
876	2037	285
877	2040	283
878	2042	281
879	2044	278
880	2046	276
881	2048	274
882	2051	271
883	2053	269
884	2055	267
885	2058	264
886	2060	262
887	2062	260
888	2064	257
889	2066	255
890	2069	253
891	2071	250
892	2073	248
893	2075	246
894	2078	243
895	2080	241
896	2082	239
897	2084	236
898	2087	234
899	2089	232
900	2091	229
901	2094	227
902	2096	225
903	2098	222
904	2100	220
905	2103	218
906	2105	215
907	2107	213
908	2110	211
909	2112	208
910	2114	206
911	2116	204
912	2118	201
913	2121	199
914	2123	197
915	2126	194
916	2128	192
917	2130	190
918	2132	187
919	2135	185
920	2137	183
921	2139	181
922	2143	178
923	2145	176
924	2148	174
925	2150	171
926	2152	169
927	2155	167
928	2157	164
929	2159	162
930	2162	160
931	2164	157
932	2167	155
933	2169	153
934	2171	150
935	2173	148
936	2175	146
937	2178	143
938	2180	141
939	2182	139
940	2184	136
941	2186	134
942	2188	132
943	2191	129
944	2193	127
945	2195	125
946	2197	123
947	2199	120
948	2202	118
949	2204	116
950	2206	113
951	2209	111
952	2211	109
953	2213	106
954	2216	104
955	2218	102
956	2220	99
957	2222	97
958	2225	95
959	2227	92
960	2229	90
961	2232	88
962	2234	85
963	2236	83
964	2239	81
965	2241	78
966	2244	76
967	2246	74
968	2248	71
969	2250	69
970	2253	67
971	2255	64
972	2257	62
973	2260	60
974	2262	58
975	2265	55
976	2267	53
977	2270	51
978	2272	48
979	2275	46
980	2277	44
981	2279	41
982	2282	39
983	2284	37
984	2286	34
985	2288	32
986	2290	30
987	2293	27
988	2295	25
989	2297	23
990	2299	20
991	2302	18
992	2304	16
993	2306	13
994	2308	11
995	2311	9
996	2313	6
997	2316	4
998	2318	2
999	2320	0
